"Customer.Name","Sum.Order.Gap.Adj","Count.True","Order.Freq","Customer.Class","Sum.Sale","Sum.Profit","Profit.Margin","Profitability","Last.Order.Date","Days.Since.Last.Order","Average.Discount","Discount.Level","Segment"
"Alejandro Grove",1439,33,44,"B",13417.21,2602.57,0.193972517386252,"Profitable",2014-12-18,13,0.0490149253731343,"Low","Consumer"
"Alejandro Savely",1363,40,34,"A",21118.32,2533.57,0.119970243845154,"Profitable",2014-12-13,18,0.0565194805194805,"Low","Corporate"
"Aleksandra Gannaway",1440,28,51,"D",14717.19,773.15,0.0525338057061165,"Profitable",2014-12-29,2,0.167586206896552,"High","Corporate"
"Alex Avila",1369,25,55,"D",15990.67,983.26,0.0614896061265726,"Profitable",2014-12-29,2,0.123,"Low","Consumer"
"Alex Grayson",1258,34,37,"B",15067.05,1006.97,0.0668325916486638,"Profitable",2014-12-29,2,0.213298701298701,"High","Consumer"
"Alex Russell",1343,33,41,"B",16466.87,2290.66,0.139107189162239,"Profitable",2014-12-02,29,0.1446875,"High","Corporate"
"Alice McCarthy",1394,38,37,"A",18766.16,2977.85,0.158681904022986,"Profitable",2014-12-16,15,0.0879220779220779,"Low","Corporate"
"Allen Armold",1344,31,43,"C",6538.69,754.92,0.115454318831448,"Profitable",2014-12-25,6,0.161818181818182,"High","Consumer"
"Allen Goldenen",1240,23,54,"D",8926.12,447.26,0.0501068773442436,"Profitable",2014-09-10,112,0.203849056603774,"High","Consumer"
"Allen Rosenblatt",1381,26,53,"D",9527.93,-552.28,-0.0579643217362008,"Unprofitable",2014-11-07,54,0.19044,"High","Corporate"
"Alyssa Crouse",1448,31,47,"C",12297.37,444.04,0.0361085337759212,"Profitable",2014-12-25,6,0.135901639344262,"Low","Corporate"
"Alyssa Tate",1296,36,36,"A",14942.3,2795.53,0.187088333121407,"Profitable",2014-12-19,12,0.178923076923077,"High","Home Office"
"Amy Cox",1236,26,48,"D",17152.99,3980.41,0.232053420424078,"Profitable",2014-12-26,5,0.171025641025641,"High","Consumer"
"Amy Hunt",1295,24,54,"D",9198.66,718.33,0.0780907219094955,"Profitable",2014-10-22,70,0.0908717948717949,"Low","Consumer"
"Andrew Allen",1212,25,48,"D",19759.08,2071.09,0.104817127113206,"Profitable",2014-08-28,125,0.105875,"Low","Consumer"
"Andrew Gjertsen",1360,40,34,"A",16384.3,2642.21,0.161264747349597,"Profitable",2014-11-13,48,0.166948717948718,"High","Corporate"
"Andrew Roberts",1395,38,37,"A",16916.52,3561.76,0.21054921461388,"Profitable",2014-12-17,14,0.0967428571428571,"Low","Consumer"
"Andy Gerbode",1275,27,47,"D",11339.64,169.39,0.0149378639886275,"Profitable",2014-12-19,12,0.194318181818182,"High","Corporate"
"Andy Reiter",1337,23,58,"D",8545.55,3139.08,0.367335045725553,"Profitable",2014-12-25,6,0.118571428571429,"Low","Consumer"
"Andy Yotov",1351,27,50,"D",8543.03,2290.98,0.268169490216001,"Profitable",2014-12-17,14,0.07204,"Low","Corporate"
"Anemone Ratner",1348,25,54,"D",11489.93,1994.65,0.173599839163511,"Profitable",2014-12-29,2,0.12564,"Low","Consumer"
"Angele Hood",1281,30,43,"C",11358.11,1610.07,0.141755098339424,"Profitable",2014-12-10,21,0.189387755102041,"High","Consumer"
"Ann Blume",1435,27,53,"D",18727.21,1870.01,0.0998552373791932,"Profitable",2014-12-24,7,0.106875,"Low","Corporate"
"Ann Chong",1335,36,37,"A",15028.16,880.13,0.0585653865809254,"Profitable",2014-12-25,6,0.116650602409639,"Low","Corporate"
"Ann Steele",1393,30,46,"C",11815.95,2091.05,0.176968419805432,"Profitable",2014-11-28,33,0.246181818181818,"High","Home Office"
"Anna Andreadi",1407,46,31,"A",17312.21,2443.09,0.141119475791941,"Profitable",2014-12-03,28,0.185648351648352,"High","Consumer"
"Anna Chung",1302,25,52,"D",8931.71,-272.13,-0.0304678499413886,"Unprofitable",2014-12-29,2,0.18353488372093,"High","Consumer"
"Anna Gayman",1346,31,43,"C",15391.97,923.06,0.05997023123096,"Profitable",2014-11-14,47,0.215896103896104,"High","Consumer"
"Anna Häberlin",1389,35,40,"B",18094.06,2466.01,0.136288373090395,"Profitable",2014-12-01,30,0.121105263157895,"Low","Corporate"
"Anne McFarland",1313,35,38,"B",25522.33,3238.59,0.126892411468702,"Profitable",2014-12-06,25,0.0986075949367089,"Low","Consumer"
"Anne Pryor",1362,25,54,"D",16361.76,2992.77,0.182912473963681,"Profitable",2014-11-24,37,0.127333333333333,"Low","Home Office"
"Annie Thurman",1458,33,44,"B",13387.75,2659.78,0.198672667177084,"Profitable",2014-12-29,2,0.0710909090909091,"Low","Consumer"
"Annie Zypern",1359,26,52,"D",11871.08,924.36,0.0778665462620082,"Profitable",2014-12-05,26,0.186029411764706,"High","Consumer"
"Anthony Garverick",1421,34,42,"B",11684.31,175.31,0.015003881273263,"Profitable",2014-12-03,28,0.210551724137931,"High","Home Office"
"Anthony Jacobs",1449,35,41,"B",17757.06,1172.24,0.0660154327349235,"Profitable",2014-12-30,1,0.230506329113924,"High","Corporate"
"Anthony Johnson",1302,32,41,"C",12282.66,2478.58,0.201795050909168,"Profitable",2014-11-25,36,0.0850649350649351,"Low","Corporate"
"Anthony O'Donnell",1212,32,38,"C",15022.8,1093.1,0.0727627339776872,"Profitable",2014-12-24,7,0.1285,"Low","Corporate"
"Anthony Rawles",1323,44,30,"A",17339.95,3117.65,0.179795789491896,"Profitable",2014-12-09,22,0.125972222222222,"Low","Corporate"
"Anthony Witt",1409,32,44,"C",15147.26,1216.41,0.0803056130283629,"Profitable",2014-12-15,16,0.165410256410256,"High","Consumer"
"Arianne Irving",1330,26,51,"D",9278.58,1538.18,0.165777521991512,"Profitable",2014-12-18,13,0.0988,"Low","Consumer"
"Art Ferguson",1367,45,30,"A",28187.34,2278.3,0.0808270663354542,"Profitable",2014-12-26,5,0.139897959183673,"High","Consumer"
"Art Foster",1321,37,36,"A",20066.16,2971.23,0.148071678886244,"Profitable",2014-11-08,53,0.121368421052632,"Low","Consumer"
"Arthur Gainer",1408,32,44,"C",19873.64,1733.25,0.0872135149876922,"Profitable",2014-12-08,23,0.14536,"High","Consumer"
"Arthur Prichep",1381,36,38,"A",18545.94,3137.62,0.169180963596345,"Profitable",2014-10-16,76,0.0754022988505747,"Low","Consumer"
"Arthur Wiediger",1422,28,51,"D",11013.01,2680.97,0.243436626317419,"Profitable",2014-11-26,35,0.168816326530612,"High","Home Office"
"Ashley Jarboe",1371,36,38,"A",15947.95,3006.7,0.188532068384965,"Profitable",2014-12-03,28,0.125892857142857,"Low","Consumer"
"Astrea Jones",1351,27,50,"D",13262.75,2531.36,0.190862377712013,"Profitable",2014-11-13,48,0.156533333333333,"High","Consumer"
"Barbara Fisher",1244,29,43,"C",9835.01,1833.73,0.18644922577608,"Profitable",2014-12-09,22,0.128870967741935,"Low","Corporate"
"Barry Blumstein",1352,36,38,"A",9886.82,299.42,0.0302847629470345,"Profitable",2014-12-17,14,0.185645161290323,"High","Corporate"
"Barry Franz",1338,27,50,"D",24079.87,1115.67,0.0463320607627865,"Profitable",2014-12-23,8,0.179478260869565,"High","Home Office"
"Barry Französisch",1399,31,45,"C",13208.28,940.12,0.0711765650031647,"Profitable",2014-12-16,15,0.23858064516129,"High","Corporate"
"Barry Gonzalez",1163,34,34,"B",20023.56,1530.18,0.0764189784433937,"Profitable",2014-12-03,28,0.127462686567164,"Low","Consumer"
"Barry Pond",1392,30,46,"C",10385.33,2090.96,0.201337848676932,"Profitable",2014-12-26,5,0.161438596491228,"High","Corporate"
"Barry Weirich",1412,23,61,"D",17436.54,3695.4,0.211934248423139,"Profitable",2014-12-09,22,0.0994509803921569,"Low","Consumer"
"Bart Folk",1347,27,50,"D",13942.73,2084.51,0.14950515429905,"Profitable",2014-12-06,25,0.174545454545455,"High","Consumer"
"Bart Pistole",1445,37,39,"A",10087.54,984.26,0.097571855972814,"Profitable",2014-12-29,2,0.145571428571429,"High","Corporate"
"Bart Watters",1360,44,31,"A",32310.45,3595.89,0.11129185758787,"Profitable",2014-11-07,54,0.0966666666666667,"Low","Corporate"
"Becky Castell",1363,33,41,"B",15185.49,2485.96,0.163706274871604,"Profitable",2014-12-02,29,0.139080459770115,"High","Home Office"
"Becky Martin",1300,32,41,"C",27169.98,-1096.93,-0.0403728674073371,"Unprofitable",2014-12-23,8,0.172974358974359,"High","Consumer"
"Becky Pak",1270,29,44,"C",14806.92,3576.21,0.241522882544108,"Profitable",2014-11-29,32,0.104413793103448,"Low","Consumer"
"Ben Ferrer",1342,37,36,"A",23219.76,4135.1,0.178085389340803,"Profitable",2014-12-15,16,0.0772325581395349,"Low","Home Office"
"Ben Peterman",1194,37,32,"A",16806.65,1343.96,0.0799659658528023,"Profitable",2014-12-30,1,0.227594594594595,"High","Corporate"
"Ben Wallace",1408,31,45,"C",14968.19,2352.21,0.157147256949571,"Profitable",2014-11-21,40,0.118411764705882,"Low","Consumer"
"Benjamin Farhat",1388,32,43,"C",13367.86,641.32,0.0479747693348075,"Profitable",2014-12-05,26,0.134709677419355,"Low","Home Office"
"Benjamin Patterson",1331,30,44,"C",18708.6,912.21,0.0487588595619127,"Profitable",2014-11-22,39,0.163731343283582,"High","Consumer"
"Benjamin Venier",1264,25,51,"D",21365.94,2819.75,0.131974067136761,"Profitable",2014-11-17,44,0.163770491803279,"High","Corporate"
"Berenike Kampe",1334,33,40,"B",13586.25,2447.68,0.180158616248045,"Profitable",2014-12-05,26,0.158,"High","Consumer"
"Beth Fritzler",1374,29,47,"C",10588.57,661.45,0.062468303085308,"Profitable",2014-12-25,6,0.118137931034483,"Low","Corporate"
"Beth Paige",1431,33,43,"B",12832.24,1958.1,0.15259222084375,"Profitable",2014-12-19,12,0.193672727272727,"High","Consumer"
"Beth Thompson",1429,33,43,"B",11627.78,863.93,0.0742987913428015,"Profitable",2014-12-03,28,0.184285714285714,"High","Home Office"
"Bill Donatelli",1344,37,36,"A",15275.32,1622.68,0.106228871146398,"Profitable",2014-12-26,5,0.100724637681159,"Low","Consumer"
"Bill Eplett",1323,40,33,"A",28479.17,7410.01,0.26019051819277,"Profitable",2014-11-26,35,0.0835490196078431,"Low","Home Office"
"Bill Overfelt",1154,26,44,"D",8092.49,415.22,0.0513093003513134,"Profitable",2014-12-10,21,0.260468085106383,"High","Corporate"
"Bill Shonely",1337,31,43,"C",23508.66,5968.91,0.253902604401952,"Profitable",2014-12-31,0,0.0537941176470588,"Low","Corporate"
"Bill Stewart",1376,27,51,"D",18775.44,1815.03,0.0966704375503317,"Profitable",2014-12-03,28,0.192333333333333,"High","Corporate"
"Bill Tyler",1364,27,51,"D",11796.38,2544.93,0.21573821799569,"Profitable",2014-12-03,28,0.115,"Low","Corporate"
"Bobby Elias",1342,37,36,"A",18411.93,3789.16,0.205799174774182,"Profitable",2014-12-10,21,0.112233333333333,"Low","Consumer"
"Bobby Odegard",1403,29,48,"C",15027.84,2556.82,0.170138888888889,"Profitable",2014-12-30,1,0.143052631578947,"High","Consumer"
"Bobby Trafton",1316,31,42,"C",10396.54,-469.79,-0.0451871488014282,"Unprofitable",2014-11-10,51,0.27377358490566,"High","Consumer"
"Brad Eason",1395,28,50,"D",18983.84,978.02,0.0515185547286534,"Profitable",2014-12-28,3,0.162753623188406,"High","Home Office"
"Brad Norvell",1195,34,35,"B",26201.96,2124.05,0.0810645463163824,"Profitable",2014-12-20,11,0.127657142857143,"Low","Corporate"
"Brad Thomas",1406,35,40,"B",11682.02,939.63,0.0804338633215831,"Profitable",2014-12-01,30,0.161723076923077,"High","Home Office"
"Bradley Drucker",1438,30,48,"C",13141.9,2381.07,0.181181564309575,"Profitable",2014-12-12,19,0.124318181818182,"Low","Consumer"
"Bradley Nguyen",1376,29,47,"C",12879.03,2544.07,0.197535839267398,"Profitable",2014-12-22,9,0.0574461538461538,"Low","Consumer"
"Bradley Talbott",1402,30,47,"C",15344.1,1453.64,0.0947360874863954,"Profitable",2014-11-28,33,0.144909090909091,"High","Home Office"
"Brenda Bowman",1147,29,40,"C",16004.8,1738.85,0.108645531340598,"Profitable",2014-12-03,28,0.171460317460317,"High","Corporate"
"Brendan Dodson",1423,24,59,"D",10920.8,2024.7,0.185398505603985,"Profitable",2014-12-24,7,0.0622777777777778,"Low","Home Office"
"Brendan Murry",1405,33,43,"B",12055.32,282.13,0.0234029457534101,"Profitable",2014-11-27,34,0.102581818181818,"Low","Corporate"
"Brendan Sweed",1411,26,54,"D",12178.04,2045.69,0.167981875572752,"Profitable",2014-11-26,35,0.121586206896552,"Low","Corporate"
"Brian Dahlen",1354,24,56,"D",9892.3,1425.67,0.144119163389707,"Profitable",2014-09-25,97,0.0696666666666667,"Low","Consumer"
"Brian DeCherney",1352,34,40,"B",10768.6,984.42,0.0914157829244284,"Profitable",2014-11-12,49,0.110477611940299,"Low","Consumer"
"Brian Derr",1350,34,40,"B",16919.96,2792.31,0.165030531987073,"Profitable",2014-12-22,9,0.141764705882353,"High","Consumer"
"Brian Moss",1238,32,39,"C",17458.1,4385.85,0.251221496039088,"Profitable",2014-11-28,33,0.0994102564102564,"Low","Corporate"
"Brian Stugart",1298,30,43,"C",22570.79,3612.88,0.160068832327092,"Profitable",2014-12-02,29,0.111971830985915,"Low","Consumer"
"Brian Thompson",1368,26,53,"D",14895.12,1795.55,0.120546192309965,"Profitable",2014-12-13,18,0.111724137931034,"Low","Consumer"
"Brooke Gillingham",1332,24,56,"D",11212.17,417.32,0.0372202704739582,"Profitable",2014-12-22,9,0.155551020408163,"High","Corporate"
"Brosina Hoffman",1432,39,37,"A",28120.62,4876.94,0.173429319837187,"Profitable",2014-12-08,23,0.146371134020619,"High","Consumer"
"Bruce Degenhardt",1443,43,34,"A",15956.23,2475.16,0.1551218552252,"Profitable",2014-12-27,4,0.143342105263158,"High","Consumer"
"Bruce Geld",1373,26,53,"D",15381.8,1426.63,0.0927479228698852,"Profitable",2014-12-25,6,0.116964285714286,"Low","Consumer"
"Bruce Stewart",1322,34,39,"B",19237.22,496.96,0.0258332544931128,"Profitable",2014-12-30,1,0.136265060240964,"Low","Consumer"
"Bryan Davis",1395,30,46,"C",13573.39,1528.27,0.11259309575574,"Profitable",2014-11-26,35,0.1376875,"High","Consumer"
"Bryan Mills",1390,44,32,"A",20691.19,2512.62,0.121434291599468,"Profitable",2014-12-29,2,0.139880952380952,"High","Consumer"
"Bryan Spruell",1392,30,46,"C",17252.07,2783.21,0.161326148108604,"Profitable",2014-12-22,9,0.0544927536231884,"Low","Home Office"
"Candace McMahon",1348,27,50,"D",14794.67,-2798.79,-0.189175561198729,"Unprofitable",2014-11-21,40,0.211304347826087,"High","Corporate"
"Cari MacIntyre",1266,35,36,"B",21606.23,2484.69,0.114998775816049,"Profitable",2014-12-25,6,0.166493506493506,"High","Corporate"
"Cari Sayre",1433,34,42,"B",22064.36,2915.33,0.132128464183869,"Profitable",2014-12-16,15,0.227058823529412,"High","Corporate"
"Cari Schnelling",1349,30,45,"C",12174.6,1319.89,0.108413418099979,"Profitable",2014-11-11,50,0.124233333333333,"Low","Consumer"
"Carl Jackson",1193,28,43,"D",13970.26,1957.43,0.140114070890592,"Profitable",2014-12-18,13,0.137,"Low","Corporate"
"Carl Ludwig",1426,39,37,"A",18183.16,-164.26,-0.00903363331786114,"Unprofitable",2014-12-18,13,0.139033333333333,"High","Consumer"
"Carl Weiss",1293,28,46,"D",14353.94,3007.4,0.209517386863816,"Profitable",2014-12-23,8,0.0782181818181818,"Low","Home Office"
"Carlos Daly",1388,30,46,"C",20117.97,5028.91,0.249971045786429,"Profitable",2014-12-29,2,0.100285714285714,"Low","Consumer"
"Carlos Meador",1371,24,57,"D",10148.31,2206.36,0.217411569019866,"Profitable",2014-11-25,36,0.12952380952381,"Low","Consumer"
"Carlos Soltero",1381,35,39,"B",14937.04,-1000.08,-0.0669530241600746,"Unprofitable",2014-12-06,25,0.253117647058824,"High","Consumer"
"Carol Adams",1416,34,42,"B",23993.66,3279.08,0.136664435521717,"Profitable",2014-12-13,18,0.164210526315789,"High","Corporate"
"Carol Darley",1379,30,46,"C",13228.39,1880.36,0.14214579400819,"Profitable",2014-12-30,1,0.169294117647059,"High","Consumer"
"Carol Triggs",1314,29,45,"C",14138.58,2437.8,0.172421841514494,"Profitable",2014-12-03,28,0.102923076923077,"Low","Consumer"
"Caroline Jumper",1275,28,46,"D",19579.56,2417.59,0.123475195561085,"Profitable",2014-11-28,33,0.151896551724138,"High","Consumer"
"Cassandra Brandow",1372,28,49,"D",13526.21,208.83,0.0154389145222498,"Profitable",2014-12-22,9,0.109661016949153,"Low","Consumer"
"Catherine Glotzbach",1244,23,54,"D",4115.21,-246.84,-0.0599823581299618,"Unprofitable",2014-12-10,21,0.299142857142857,"High","Home Office"
"Cathy Armstrong",1368,25,55,"D",12292.76,1869.77,0.152103351891683,"Profitable",2014-12-18,13,0.111642857142857,"Low","Home Office"
"Cathy Hwang",1270,29,44,"C",15668.17,2671.51,0.170505553616025,"Profitable",2014-10-03,89,0.0684571428571429,"Low","Home Office"
"Cathy Prescott",1214,33,37,"B",19769.58,1750.57,0.0885486692180613,"Profitable",2014-10-23,69,0.123230769230769,"Low","Corporate"
"Chad Cunningham",1091,29,38,"C",12520.17,2622.63,0.209472395342875,"Profitable",2014-11-10,51,0.125724137931034,"Low","Home Office"
"Chad McGuire",1412,23,61,"D",16565.32,2442.35,0.147437538182178,"Profitable",2014-12-23,8,0.0933023255813954,"Low","Consumer"
"Chad Sievert",1373,26,53,"D",12348.5,-4.07,-0.00032959468761388,"Unprofitable",2014-12-20,11,0.158541666666667,"High","Consumer"
"Charles Crestani",1211,30,40,"C",13348.85,1307.8,0.0979709862647344,"Profitable",2014-10-10,82,0.140169491525424,"High","Consumer"
"Charles McCrossin",1404,30,47,"C",20155.96,746.69,0.0370456182687404,"Profitable",2014-12-05,26,0.171672727272727,"High","Consumer"
"Charles Sheldon",1386,34,41,"B",20046.19,4328.58,0.215930308951477,"Profitable",2014-11-04,57,0.106774193548387,"Low","Corporate"
"Charlotte Melton",1304,28,47,"D",12826.54,117.79,0.00918330274571318,"Profitable",2014-12-31,0,0.1308,"Low","Consumer"
"Chloris Kastensmidt",1387,42,33,"A",14575.9,965.81,0.0662607454771232,"Profitable",2014-12-27,4,0.222416666666667,"High","Consumer"
"Chris Cortes",1379,41,34,"A",11482.91,2505.89,0.218227783723812,"Profitable",2014-12-11,20,0.092551724137931,"Low","Consumer"
"Chris McAfee",1416,27,52,"D",11620.62,1887.7,0.162444000406175,"Profitable",2014-11-19,42,0.122181818181818,"Low","Consumer"
"Chris Selesnick",1445,33,44,"B",14413.73,2602.51,0.1805577043555,"Profitable",2014-12-29,2,0.0785185185185185,"Low","Corporate"
"Christina Anderson",1401,38,37,"A",21837.31,3662.12,0.167700142554188,"Profitable",2014-11-27,34,0.0743768115942029,"Low","Consumer"
"Christina DeMoss",1271,31,41,"C",17984.59,2591.78,0.144111152937042,"Profitable",2014-12-19,12,0.118073170731707,"Low","Consumer"
"Christina VanderZanden",1335,29,46,"C",10325.51,605.34,0.0586256756324869,"Profitable",2014-11-22,39,0.164733333333333,"High","Consumer"
"Christine Abelman",1366,26,53,"D",7802.29,867.16,0.111141728902668,"Profitable",2014-12-18,13,0.0935348837209302,"Low","Corporate"
"Christine Kargatis",1388,35,40,"B",13053.19,1380.71,0.105775676290623,"Profitable",2014-12-31,0,0.13689552238806,"Low","Home Office"
"Christine Phan",1429,33,43,"B",25154.12,1748.28,0.06950272957273,"Profitable",2014-12-23,8,0.097609756097561,"Low","Corporate"
"Christine Sundaresam",1363,38,36,"A",10548.06,-1.15,-0.000109024787496469,"Unprofitable",2014-12-25,6,0.143787878787879,"High","Consumer"
"Christopher Conant",1420,38,37,"A",35187.08,5603.33,0.159243961135735,"Profitable",2014-12-25,6,0.129041095890411,"Low","Consumer"
"Christopher Martinez",1416,29,49,"C",22463.58,3010.03,0.133996005979457,"Profitable",2014-11-24,37,0.186142857142857,"High","Consumer"
"Christopher Schild",1285,28,46,"D",12514.53,2080.04,0.166209997498907,"Profitable",2014-12-30,1,0.0755094339622642,"Low","Home Office"
"Christy Brittain",1380,27,51,"D",13938.12,2087.08,0.14973898918936,"Profitable",2014-12-05,26,0.181714285714286,"High","Consumer"
"Chuck Clark",1437,31,46,"C",15039.16,2940.51,0.195523553177172,"Profitable",2014-12-31,0,0.1057,"Low","Home Office"
"Chuck Magee",1331,28,48,"D",13713.29,1476.66,0.107680943085139,"Profitable",2014-12-16,15,0.135448275862069,"Low","Consumer"
"Chuck Sachs",1444,30,48,"C",22755.44,2943.11,0.12933654545902,"Profitable",2014-12-25,6,0.101742857142857,"Low","Consumer"
"Cindy Chapman",1322,35,38,"B",20869.68,4034.85,0.193335499154755,"Profitable",2014-12-15,16,0.125162162162162,"Low","Consumer"
"Cindy Schnelling",1360,32,42,"C",12774.63,188.87,0.0147847726313795,"Profitable",2014-12-29,2,0.192741935483871,"High","Corporate"
"Cindy Stewart",1349,23,59,"D",13429.75,-6151.56,-0.458054692008414,"Unprofitable",2014-12-04,27,0.0995238095238095,"Low","Consumer"
"Claire Gute",1246,25,50,"D",14661.67,2566.58,0.175053728531607,"Profitable",2014-12-03,28,0.159076923076923,"High","Consumer"
"Claudia Bergmann",1432,29,49,"C",18255.79,2167.22,0.11871411754846,"Profitable",2014-12-24,7,0.120861111111111,"Low","Corporate"
"Clay Cheatham",1358,29,47,"C",9342.05,1524.55,0.163192232968139,"Profitable",2014-12-04,27,0.1367,"Low","Consumer"
"Clay Ludtke",1416,36,39,"A",19783.77,1323.43,0.0668947323993354,"Profitable",2014-12-26,5,0.111417721518987,"Low","Consumer"
"Clay Rozendal",1215,23,53,"D",11757.58,1946,0.165510249558157,"Profitable",2014-12-09,22,0.169268292682927,"High","Home Office"
"Clytie Kelty",1208,34,36,"B",17143.15,2373.64,0.138459967975547,"Profitable",2014-11-18,43,0.128253164556962,"Low","Consumer"
"Corey-Lock",1353,29,47,"C",13046.87,1196.04,0.0916725620781076,"Profitable",2014-12-27,4,0.150911764705882,"High","Consumer"
"Corey Catlett",1248,31,40,"C",17605.03,3003.01,0.170576818102554,"Profitable",2014-12-15,16,0.114754098360656,"Low","Corporate"
"Corey Roper",1395,34,41,"B",22351.1,2345.12,0.104921905409577,"Profitable",2014-11-18,43,0.16238961038961,"High","Home Office"
"Corinna Mitchell",1216,30,41,"C",15578.56,-955.06,-0.0613060513937103,"Unprofitable",2014-12-04,27,0.25762962962963,"High","Home Office"
"Craig Carreira",1342,34,39,"B",11496.61,-280.98,-0.0244402480383348,"Unprofitable",2014-12-15,16,0.182567164179104,"High","Consumer"
"Craig Carroll",1326,25,53,"D",16817.96,2249.86,0.133777223872574,"Profitable",2014-11-07,54,0.204909090909091,"High","Consumer"
"Craig Leslie",1438,33,44,"B",19376.02,2670.33,0.137816228513389,"Profitable",2014-12-23,8,0.108550724637681,"Low","Home Office"
"Craig Molinari",1354,26,52,"D",11230.84,1210.34,0.107769320905649,"Profitable",2014-11-20,41,0.179074074074074,"High","Corporate"
"Craig Reiter",1260,34,37,"B",20847.54,1435.44,0.0688541669664622,"Profitable",2014-12-26,5,0.273844155844156,"High","Consumer"
"Craig Yedwab",1275,35,36,"B",14221.5,1542.24,0.108444256934922,"Profitable",2014-11-01,60,0.102033333333333,"Low","Corporate"
"Cyma Kinney",1385,38,36,"A",10590.75,525.38,0.0496074404551141,"Profitable",2014-11-24,37,0.0903188405797101,"Low","Corporate"
"Cynthia Arntzen",1210,30,40,"C",19836.36,3891.26,0.196168046960229,"Profitable",2014-09-29,93,0.167213114754098,"High","Consumer"
"Cynthia Delaney",1351,32,42,"C",14498.9,2154.3,0.148583685658912,"Profitable",2014-10-16,76,0.105147058823529,"Low","Home Office"
"Cynthia Voltz",1340,26,52,"D",14852.98,1910.11,0.128601129201009,"Profitable",2014-12-27,4,0.145,"High","Corporate"
"Cyra Reiten",1244,32,39,"C",15658.56,3312.72,0.211559683649071,"Profitable",2014-11-06,55,0.0892962962962963,"Low","Home Office"
"Damala Kotsonis",1409,38,37,"A",20963.7,2917.85,0.139185830745527,"Profitable",2014-12-10,21,0.195,"High","Corporate"
"Dan Campbell",1241,37,34,"A",13438.51,-70.49,-0.00524537318497363,"Unprofitable",2014-11-27,34,0.137012987012987,"Low","Consumer"
"Dan Lawera",1394,39,36,"A",12688.68,426.04,0.033576384619992,"Profitable",2014-11-04,57,0.2015,"High","Consumer"
"Dan Reichenbach",1350,39,35,"A",16706.8,1984.4,0.118777982617856,"Profitable",2014-12-28,3,0.147880952380952,"High","Corporate"
"Dana Kaydos",1279,28,46,"D",19632.76,1363.56,0.0694533015225572,"Profitable",2014-11-16,45,0.115371428571429,"Low","Consumer"
"Daniel Byrd",1362,35,39,"B",15389.46,1656.94,0.107667195600106,"Profitable",2014-12-29,2,0.138769230769231,"High","Home Office"
"Daniel Lacy",1375,27,51,"D",12196.68,1108.44,0.0908804691112663,"Profitable",2014-11-24,37,0.257944444444444,"High","Consumer"
